time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2019-10-01,2019-10-02,Light_rain,,,,,,
2019-10-02,2019-10-03,Light_rain,,,,,,
2019-10-03,2019-10-04,Light_rain,,,,,,
2019-10-04,2019-10-05,Light_rain,,,,,,
2019-10-05,2019-10-06,Light_rain,,,,,,
2019-10-06,2019-10-07,Light_rain,,,,,,
2019-10-07,2019-10-08,Light_rain,,,,,,
2019-10-08,2019-10-09,Light_rain,,,,,,
2019-10-09,2019-10-10,Light_rain,,,,,,
2019-10-10,2019-10-11,Light_rain,,,,,,
2019-10-11,2019-10-12,Light_rain,,,,,,
2019-10-12,2019-10-13,Light_rain,,,,,,
2019-10-13,2019-10-14,Light_rain,,,,,,
2019-10-14,2019-10-15,Light_rain,,,,,,
2019-10-15,2019-10-16,Light_rain,,,,,,
2019-10-16,2019-10-17,Light_rain,,,,,,
2019-10-17,2019-10-18,Light_rain,,,,,,
2019-10-18,2019-10-19,Light_rain,,,,,,
2019-10-19,2019-10-20,Light_rain,,,,,,
2019-10-20,2019-10-21,Light_rain,,,,,,
2019-10-21,2019-10-22,Light_rain,,,,,,
2019-10-22,2019-10-23,Light_rain,,,,,,
2019-10-23,2019-10-24,Light_rain,,,,,,
2019-10-24,2019-10-25,Light_rain,,,,,,
2019-10-25,2019-10-26,Light_rain,,,,,,
2019-10-26,2019-10-27,Light_rain,,,,,,
2019-10-27,2019-10-28,Light_rain,,,,,,
2019-10-28,2019-10-29,Light_rain,,,,,,
2019-10-29,2019-10-30,Light_rain,,,,,,
2019-10-30,2019-10-31,Light_rain,,,,,,
2019-10-31,2019-11-01,Light_rain,,,,,,
2019-11-01,2019-11-02,Light_rain,,,,,,
2019-11-02,2019-11-03,Light_rain,,,,,,
2019-11-03,2019-11-04,Light_rain,,,,,,
2019-11-04,2019-11-05,Light_rain,,,,,,
2019-11-05,2019-11-06,Light_rain,,,,,,
2019-11-06,2019-11-07,Light_rain,,,,,,
2019-11-07,2019-11-08,Light_rain,,,,,,
2019-11-08,2019-11-09,Light_rain,,,,,,
2019-11-09,2019-11-10,Light_rain,,,,,,
2019-11-10,2019-11-11,Light_rain,,,,,,
