time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2018-10-01,2018-10-02,Clear_Sky,,,,,,
2018-10-02,2018-10-03,Clear_Sky,,,,,,
2018-10-03,2018-10-04,Clear_Sky,,,,,,
2018-10-04,2018-10-05,Clear_Sky,73.0,1.0,0.0,24.0,c01d,800
2018-10-05,2018-10-06,Clear_Sky,,,,,,
2018-10-06,2018-10-07,Clear_Sky,,,,,,
2018-10-07,2018-10-08,Clear_Sky,,,,,,
2018-10-08,2018-10-09,Clear_Sky,,,,,,
2018-10-09,2018-10-10,Clear_Sky,,,,,,
2018-10-10,2018-10-11,Clear_Sky,,,,,,
2018-10-11,2018-10-12,Clear_Sky,,,,,,
2018-10-12,2018-10-13,Clear_Sky,,,,,,
2018-10-13,2018-10-14,Clear_Sky,,,,,,
2018-10-14,2018-10-15,Clear_Sky,,,,,,
2018-10-15,2018-10-16,Clear_Sky,,,,,,
2018-10-16,2018-10-17,Clear_Sky,,,,,,
2018-10-17,2018-10-18,Clear_Sky,,,,,,
2018-10-18,2018-10-19,Clear_Sky,,,,,,
2018-10-19,2018-10-20,Clear_Sky,,,,,,
2018-10-20,2018-10-21,Clear_Sky,,,,,,
2018-10-21,2018-10-22,Clear_Sky,,,,,,
2018-10-22,2018-10-23,Clear_Sky,,,,,,
2018-10-23,2018-10-24,Clear_Sky,,,,,,
2018-10-24,2018-10-25,Clear_Sky,,,,,,
2018-10-25,2018-10-26,Clear_Sky,,,,,,
2018-10-26,2018-10-27,Clear_Sky,,,,,,
2018-10-27,2018-10-28,Clear_Sky,,,,,,
2018-10-28,2018-10-29,Clear_Sky,71.25,0.5,0.0,25.75,c01d,800
2018-10-29,2018-10-30,Clear_Sky,73.0,0.25,0.0,25.5,c01d,800
2018-10-30,2018-10-31,Clear_Sky,,,,,,
2018-10-31,2018-11-01,Clear_Sky,66.83,0.17,0.0,26.33,c01d,800
2018-11-01,2018-11-02,Clear_Sky,,,,,,
2018-11-02,2018-11-03,Clear_Sky,,,,,,
