time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2017-10-01,2017-10-02,Clear_Sky,,,,,,
2017-10-02,2017-10-03,Clear_Sky,,,,,,
2017-10-03,2017-10-04,Clear_Sky,,,,,,
2017-10-04,2017-10-05,Clear_Sky,,,,,,
2017-10-05,2017-10-06,Clear_Sky,,,,,,
2017-10-06,2017-10-07,Clear_Sky,,,,,,
2017-10-07,2017-10-08,Clear_Sky,,,,,,
2017-10-08,2017-10-09,Clear_Sky,,,,,,
2017-10-09,2017-10-10,Clear_Sky,,,,,,
2017-10-10,2017-10-11,Clear_Sky,,,,,,
2017-10-11,2017-10-12,Clear_Sky,,,,,,
2017-10-12,2017-10-13,Clear_Sky,,,,,,
2017-10-13,2017-10-14,Clear_Sky,,,,,,
2017-10-14,2017-10-15,Clear_Sky,62.25,0.5,0.0,27.0,c01d,800
2017-10-15,2017-10-16,Clear_Sky,72.67,1.0,0.0,24.0,c01d,800
2017-10-16,2017-10-17,Clear_Sky,,,,,,
2017-10-17,2017-10-18,Clear_Sky,73.5,0.0,0.0,25.0,c01d,800
2017-10-18,2017-10-19,Clear_Sky,51.0,1.0,0.0,32.0,c01d,800
2017-10-19,2017-10-20,Clear_Sky,80.5,0.17,0.0,21.17,c01n,800
2017-10-20,2017-10-21,Clear_Sky,56.0,1.0,0.0,29.0,c01d,800
2017-10-21,2017-10-22,Clear_Sky,80.5,1.0,0.0,22.5,c01n,800
2017-10-22,2017-10-23,Clear_Sky,,,,,,
2017-10-23,2017-10-24,Clear_Sky,,,,,,
2017-10-24,2017-10-25,Clear_Sky,,,,,,
2017-10-25,2017-10-26,Clear_Sky,,,,,,
2017-10-26,2017-10-27,Clear_Sky,,,,,,
2017-10-27,2017-10-28,Clear_Sky,,,,,,
2017-10-28,2017-10-29,Clear_Sky,,,,,,
2017-10-29,2017-10-30,Clear_Sky,,,,,,
2017-10-30,2017-10-31,Clear_Sky,,,,,,
2017-10-31,2017-11-01,Clear_Sky,,,,,,
2017-11-01,2017-11-02,Clear_Sky,,,,,,
2017-11-02,2017-11-03,Clear_Sky,,,,,,
2017-11-03,2017-11-04,Clear_Sky,,,,,,
2017-11-04,2017-11-05,Clear_Sky,,,,,,
2017-11-05,2017-11-06,Clear_Sky,,,,,,
2017-11-06,2017-11-07,Clear_Sky,,,,,,
2017-11-07,2017-11-08,Clear_Sky,,,,,,
2017-11-08,2017-11-09,Clear_Sky,58.0,1.0,0.0,27.0,c01d,800
