time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2019-10-01,2019-10-02,Clear_Sky,,,,,,
2019-10-02,2019-10-03,Clear_Sky,,,,,,
2019-10-03,2019-10-04,Clear_Sky,,,,,,
2019-10-04,2019-10-05,Clear_Sky,,,,,,
2019-10-05,2019-10-06,Clear_Sky,,,,,,
2019-10-06,2019-10-07,Clear_Sky,,,,,,
2019-10-07,2019-10-08,Clear_Sky,,,,,,
2019-10-08,2019-10-09,Clear_Sky,,,,,,
2019-10-09,2019-10-10,Clear_Sky,65.0,1.0,0.0,26.0,c01d,800
2019-10-10,2019-10-11,Clear_Sky,,,,,,
2019-10-11,2019-10-12,Clear_Sky,,,,,,
2019-10-12,2019-10-13,Clear_Sky,,,,,,
2019-10-13,2019-10-14,Clear_Sky,,,,,,
2019-10-14,2019-10-15,Clear_Sky,,,,,,
2019-10-15,2019-10-16,Clear_Sky,,,,,,
2019-10-16,2019-10-17,Clear_Sky,,,,,,
2019-10-17,2019-10-18,Clear_Sky,,,,,,
2019-10-18,2019-10-19,Clear_Sky,,,,,,
2019-10-19,2019-10-20,Clear_Sky,,,,,,
2019-10-20,2019-10-21,Clear_Sky,,,,,,
2019-10-21,2019-10-22,Clear_Sky,,,,,,
2019-10-22,2019-10-23,Clear_Sky,,,,,,
2019-10-23,2019-10-24,Clear_Sky,,,,,,
2019-10-24,2019-10-25,Clear_Sky,,,,,,
2019-10-25,2019-10-26,Clear_Sky,,,,,,
2019-10-26,2019-10-27,Clear_Sky,,,,,,
2019-10-27,2019-10-28,Clear_Sky,,,,,,
2019-10-28,2019-10-29,Clear_Sky,,,,,,
2019-10-29,2019-10-30,Clear_Sky,,,,,,
2019-10-30,2019-10-31,Clear_Sky,,,,,,
2019-10-31,2019-11-01,Clear_Sky,,,,,,
2019-11-01,2019-11-02,Clear_Sky,,,,,,
2019-11-02,2019-11-03,Clear_Sky,,,,,,
2019-11-03,2019-11-04,Clear_Sky,,,,,,
2019-11-04,2019-11-05,Clear_Sky,,,,,,
2019-11-05,2019-11-06,Clear_Sky,,,,,,
2019-11-06,2019-11-07,Clear_Sky,65.0,1.0,0.0,28.0,c01d,800
2019-11-07,2019-11-08,Clear_Sky,,,,,,
2019-11-08,2019-11-09,Clear_Sky,,,,,,
2019-11-09,2019-11-10,Clear_Sky,,,,,,
2019-11-10,2019-11-11,Clear_Sky,,,,,,
2019-11-11,2019-11-12,Clear_Sky,,,,,,
2019-11-12,2019-11-13,Clear_Sky,,,,,,
2019-11-13,2019-11-14,Clear_Sky,,,,,,
2019-11-14,2019-11-15,Clear_Sky,,,,,,
2019-11-15,2019-11-16,Clear_Sky,,,,,,
2019-11-16,2019-11-17,Clear_Sky,,,,,,
2019-11-17,2019-11-18,Clear_Sky,,,,,,
2019-11-18,2019-11-19,Clear_Sky,,,,,,
2019-11-19,2019-11-20,Clear_Sky,,,,,,
2019-11-20,2019-11-21,Clear_Sky,,,,,,
2019-11-21,2019-11-22,Clear_Sky,,,,,,
2019-11-22,2019-11-23,Clear_Sky,,,,,,
2019-11-23,2019-11-24,Clear_Sky,,,,,,
2019-11-24,2019-11-25,Clear_Sky,,,,,,
2019-11-25,2019-11-26,Clear_Sky,,,,,,
2019-11-26,2019-11-27,Clear_Sky,69.0,1.0,0.0,26.0,c01d,800
2019-11-27,2019-11-28,Clear_Sky,,,,,,
2019-11-28,2019-11-29,Clear_Sky,,,,,,
2019-11-29,2019-11-30,Clear_Sky,,,,,,
2019-11-30,2019-12-01,Clear_Sky,,,,,,
2019-12-01,2019-12-02,Clear_Sky,,,,,,
2019-12-02,2019-12-03,Clear_Sky,,,,,,
2019-12-03,2019-12-04,Clear_Sky,,,,,,
2019-12-04,2019-12-05,Clear_Sky,,,,,,
2019-12-05,2019-12-06,Clear_Sky,,,,,,
2019-12-06,2019-12-07,Clear_Sky,,,,,,
2019-12-07,2019-12-08,Clear_Sky,,,,,,
2019-12-08,2019-12-09,Clear_Sky,,,,,,
2019-12-09,2019-12-10,Clear_Sky,,,,,,
2019-12-10,2019-12-11,Clear_Sky,,,,,,
2019-12-11,2019-12-12,Clear_Sky,,,,,,
2019-12-12,2019-12-13,Clear_Sky,,,,,,
2019-12-13,2019-12-14,Clear_Sky,,,,,,
2019-12-14,2019-12-15,Clear_Sky,,,,,,
2019-12-15,2019-12-16,Clear_Sky,,,,,,
2019-12-16,2019-12-17,Clear_Sky,,,,,,
2019-12-17,2019-12-18,Clear_Sky,,,,,,
2019-12-18,2019-12-19,Clear_Sky,,,,,,
2019-12-19,2019-12-20,Clear_Sky,,,,,,
2019-12-20,2019-12-21,Clear_Sky,,,,,,
2019-12-21,2019-12-22,Clear_Sky,,,,,,
2019-12-22,2019-12-23,Clear_Sky,,,,,,
2019-12-23,2019-12-24,Clear_Sky,,,,,,
2019-12-24,2019-12-25,Clear_Sky,,,,,,
2019-12-25,2019-12-26,Clear_Sky,,,,,,
2019-12-26,2019-12-27,Clear_Sky,,,,,,
2019-12-27,2019-12-28,Clear_Sky,,,,,,
2019-12-28,2019-12-29,Clear_Sky,,,,,,
2019-12-29,2019-12-30,Clear_Sky,,,,,,
2019-12-30,2019-12-31,Clear_Sky,,,,,,
2019-12-31,2020-01-01,Clear_Sky,,,,,,
2020-01-01,2020-01-02,Clear_Sky,,,,,,
2020-01-02,2020-01-03,Clear_Sky,,,,,,
2020-01-03,2020-01-04,Clear_Sky,,,,,,
2020-01-04,2020-01-05,Clear_Sky,,,,,,
2020-01-05,2020-01-06,Clear_Sky,,,,,,
2020-01-06,2020-01-07,Clear_Sky,,,,,,
2020-01-07,2020-01-08,Clear_Sky,,,,,,
2020-01-08,2020-01-09,Clear_Sky,,,,,,
2020-01-09,2020-01-10,Clear_Sky,67.2,0.0,0.0,26.4,c01n,800
2020-01-10,2020-01-11,Clear_Sky,,,,,,
2020-01-11,2020-01-12,Clear_Sky,,,,,,
2020-01-12,2020-01-13,Clear_Sky,78.0,1.0,0.0,27.0,c01d,800
2020-01-13,2020-01-14,Clear_Sky,,,,,,
2020-01-14,2020-01-15,Clear_Sky,,,,,,
2020-01-15,2020-01-16,Clear_Sky,,,,,,
2020-01-16,2020-01-17,Clear_Sky,,,,,,
2020-01-17,2020-01-18,Clear_Sky,,,,,,
2020-01-18,2020-01-19,Clear_Sky,,,,,,
2020-01-19,2020-01-20,Clear_Sky,49.0,1.0,0.0,32.0,c01d,800
2020-01-20,2020-01-21,Clear_Sky,,,,,,
2020-01-21,2020-01-22,Clear_Sky,,,,,,
2020-01-22,2020-01-23,Clear_Sky,,,,,,
2020-01-23,2020-01-24,Clear_Sky,,,,,,
2020-01-24,2020-01-25,Clear_Sky,,,,,,
2020-01-25,2020-01-26,Clear_Sky,,,,,,
2020-01-26,2020-01-27,Clear_Sky,,,,,,
2020-01-27,2020-01-28,Clear_Sky,,,,,,
2020-01-28,2020-01-29,Clear_Sky,,,,,,
2020-01-29,2020-01-30,Clear_Sky,,,,,,
2020-01-30,2020-01-31,Clear_Sky,,,,,,
