time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2017-10-01,2017-10-02,Broken_clouds,65.5,68.0,0.0,27.0,c03d,803
2017-10-02,2017-10-03,Broken_clouds,70.33,58.17,0.0,25.67,c03d,803
2017-10-03,2017-10-04,Broken_clouds,68.82,56.73,0.0,26.09,c03n,803
2017-10-04,2017-10-05,Broken_clouds,72.75,56.25,0.0,25.25,c03d,803
2017-10-05,2017-10-06,Broken_clouds,76.33,59.83,0.0,23.83,c03n,803
2017-10-06,2017-10-07,Broken_clouds,68.42,53.42,0.0,26.25,c03d,803
2017-10-07,2017-10-08,Broken_clouds,69.0,54.11,0.0,26.33,c03n,803
2017-10-08,2017-10-09,Broken_clouds,75.67,49.5,0.0,23.67,c03n,803
2017-10-09,2017-10-10,Broken_clouds,75.5,50.75,0.0,22.5,c03n,803
2017-10-10,2017-10-11,Broken_clouds,73.73,52.55,0.0,22.91,c03n,803
2017-10-11,2017-10-12,Broken_clouds,,,,,,
2017-10-12,2017-10-13,Broken_clouds,71.0,63.0,0.0,23.5,c03d,803
2017-10-13,2017-10-14,Broken_clouds,74.5,56.0,0.0,23.25,c03n,803
2017-10-14,2017-10-15,Broken_clouds,49.0,63.0,0.0,32.0,c03d,803
2017-10-15,2017-10-16,Broken_clouds,65.33,52.83,0.0,27.17,c03n,803
2017-10-16,2017-10-17,Broken_clouds,78.0,42.0,0.0,23.0,c03n,803
2017-10-17,2017-10-18,Broken_clouds,66.0,52.71,0.0,27.57,c03n,803
2017-10-18,2017-10-19,Broken_clouds,58.0,53.0,0.0,29.0,c03d,803
2017-10-19,2017-10-20,Broken_clouds,57.6,56.2,0.0,29.0,c03d,803
2017-10-20,2017-10-21,Broken_clouds,73.89,56.67,0.0,23.78,c03n,803
2017-10-21,2017-10-22,Broken_clouds,62.0,65.33,0.0,28.33,c03d,803
2017-10-22,2017-10-23,Broken_clouds,73.0,70.0,0.0,25.0,c03n,803
2017-10-23,2017-10-24,Broken_clouds,73.0,50.6,0.0,25.0,c03n,803
2017-10-24,2017-10-25,Broken_clouds,,,,,,
2017-10-25,2017-10-26,Broken_clouds,70.33,53.33,0.0,25.67,c03n,803
2017-10-26,2017-10-27,Broken_clouds,59.0,59.67,0.0,28.67,c03d,803
2017-10-27,2017-10-28,Broken_clouds,71.8,52.6,0.0,24.8,c03n,803
2017-10-28,2017-10-29,Broken_clouds,62.6,68.0,0.0,27.6,c03d,803
2017-10-29,2017-10-30,Broken_clouds,62.6,59.2,0.0,27.0,c03d,803
2017-10-30,2017-10-31,Broken_clouds,69.0,45.83,0.0,25.67,c03d,803
2017-10-31,2017-11-01,Broken_clouds,69.12,61.25,0.0,24.75,c03n,803
2017-11-01,2017-11-02,Broken_clouds,62.2,60.8,0.0,27.6,c03d,803
