time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2017-10-01,2017-10-02,Few_clouds,,,,,,
2017-10-02,2017-10-03,Few_clouds,,,,,,
2017-10-03,2017-10-04,Few_clouds,,,,,,
2017-10-04,2017-10-05,Few_clouds,,,,,,
2017-10-05,2017-10-06,Few_clouds,77.33,15.33,0.0,23.0,c02d,801
2017-10-06,2017-10-07,Few_clouds,,,,,,
2017-10-07,2017-10-08,Few_clouds,,,,,,
2017-10-08,2017-10-09,Few_clouds,88.0,8.0,0.0,21.0,c02d,801
2017-10-09,2017-10-10,Few_clouds,67.75,13.25,0.0,25.58,c02d,801
2017-10-10,2017-10-11,Few_clouds,64.2,15.8,0.0,27.2,c02d,801
2017-10-11,2017-10-12,Few_clouds,,,,,,
2017-10-12,2017-10-13,Few_clouds,,,,,,
2017-10-13,2017-10-14,Few_clouds,58.71,10.29,0.0,29.14,c02d,801
2017-10-14,2017-10-15,Few_clouds,67.67,8.33,0.0,26.0,c02d,801
2017-10-15,2017-10-16,Few_clouds,70.0,9.0,0.0,25.0,c02n,801
2017-10-16,2017-10-17,Few_clouds,58.2,15.8,0.0,28.8,c02d,801
2017-10-17,2017-10-18,Few_clouds,81.0,12.0,0.0,22.6,c02n,801
2017-10-18,2017-10-19,Few_clouds,63.33,8.56,0.0,27.33,c02d,801
2017-10-19,2017-10-20,Few_clouds,76.5,4.0,0.0,22.0,c02n,801
2017-10-20,2017-10-21,Few_clouds,61.38,9.5,0.0,27.62,c02d,801
2017-10-21,2017-10-22,Few_clouds,66.57,8.14,0.0,19.71,c02n,801
2017-10-22,2017-10-23,Few_clouds,,,,,,
2017-10-23,2017-10-24,Few_clouds,57.4,13.4,0.0,29.6,c02d,801
2017-10-24,2017-10-25,Few_clouds,,,,,,
2017-10-25,2017-10-26,Few_clouds,59.75,6.25,0.0,28.25,c02d,801
2017-10-26,2017-10-27,Few_clouds,,,,,,
2017-10-27,2017-10-28,Few_clouds,,,,,,
2017-10-28,2017-10-29,Few_clouds,,,,,,
2017-10-29,2017-10-30,Few_clouds,,,,,,
2017-10-30,2017-10-31,Few_clouds,,,,,,
2017-10-31,2017-11-01,Few_clouds,,,,,,
2017-11-01,2017-11-02,Few_clouds,,,,,,
2017-11-02,2017-11-03,Few_clouds,73.0,17.0,0.0,25.0,c02n,801
2017-11-03,2017-11-04,Few_clouds,,,,,,
2017-11-04,2017-11-05,Few_clouds,,,,,,
2017-11-05,2017-11-06,Few_clouds,,,,,,
2017-11-06,2017-11-07,Few_clouds,74.0,17.5,0.0,24.5,c02d,801
2017-11-07,2017-11-08,Few_clouds,65.0,19.0,0.0,26.0,c02n,801
2017-11-08,2017-11-09,Few_clouds,55.91,10.0,0.0,23.91,c02d,801
2017-11-09,2017-11-10,Few_clouds,60.67,12.67,0.0,26.17,c02d,801
2017-11-10,2017-11-11,Few_clouds,77.0,20.0,0.0,21.0,c02n,801
2017-11-11,2017-11-12,Few_clouds,,,,,,
2017-11-12,2017-11-13,Few_clouds,,,,,,
2017-11-13,2017-11-14,Few_clouds,,,,,,
2017-11-14,2017-11-15,Few_clouds,,,,,,
2017-11-15,2017-11-16,Few_clouds,,,,,,
2017-11-16,2017-11-17,Few_clouds,,,,,,
