time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2017-10-01,2017-10-02,Light_rain,,,,,,
2017-10-02,2017-10-03,Light_rain,,,,,,
2017-10-03,2017-10-04,Light_rain,78.0,79.5,0.0,24.0,r01n,500
2017-10-04,2017-10-05,Light_rain,83.0,84.0,0.0,23.0,r01n,500
2017-10-05,2017-10-06,Light_rain,,,,,,
2017-10-06,2017-10-07,Light_rain,,,,,,
2017-10-07,2017-10-08,Light_rain,,,,,,
2017-10-08,2017-10-09,Light_rain,,,,,,
2017-10-09,2017-10-10,Light_rain,,,,,,
2017-10-10,2017-10-11,Light_rain,,,,,,
2017-10-11,2017-10-12,Light_rain,,,,,,
2017-10-12,2017-10-13,Light_rain,,,,,,
2017-10-13,2017-10-14,Light_rain,,,,,,
2017-10-14,2017-10-15,Light_rain,,,,,,
2017-10-15,2017-10-16,Light_rain,,,,,,
2017-10-16,2017-10-17,Light_rain,,,,,,
2017-10-17,2017-10-18,Light_rain,,,,,,
2017-10-18,2017-10-19,Light_rain,,,,,,
2017-10-19,2017-10-20,Light_rain,,,,,,
2017-10-20,2017-10-21,Light_rain,,,,,,
2017-10-21,2017-10-22,Light_rain,,,,,,
2017-10-22,2017-10-23,Light_rain,,,,,,
2017-10-23,2017-10-24,Light_rain,,,,,,
2017-10-24,2017-10-25,Light_rain,,,,,,
2017-10-25,2017-10-26,Light_rain,,,,,,
2017-10-26,2017-10-27,Light_rain,,,,,,
2017-10-27,2017-10-28,Light_rain,,,,,,
2017-10-28,2017-10-29,Light_rain,,,,,,
2017-10-29,2017-10-30,Light_rain,,,,,,
2017-10-30,2017-10-31,Light_rain,,,,,,
2017-10-31,2017-11-01,Light_rain,,,,,,
2017-11-01,2017-11-02,Light_rain,,,,,,
2017-11-02,2017-11-03,Light_rain,,,,,,
2017-11-03,2017-11-04,Light_rain,,,,,,
2017-11-04,2017-11-05,Light_rain,,,,,,
2017-11-05,2017-11-06,Light_rain,,,,,,
2017-11-06,2017-11-07,Light_rain,,,,,,
2017-11-07,2017-11-08,Light_rain,,,,,,
2017-11-08,2017-11-09,Light_rain,,,,,,
2017-11-09,2017-11-10,Light_rain,,,,,,
2017-11-10,2017-11-11,Light_rain,,,,,,
2017-11-11,2017-11-12,Light_rain,,,,,,
2017-11-12,2017-11-13,Light_rain,,,,,,
2017-11-13,2017-11-14,Light_rain,,,,,,
2017-11-14,2017-11-15,Light_rain,,,,,,
2017-11-15,2017-11-16,Light_rain,,,,,,
2017-11-16,2017-11-17,Light_rain,,,,,,
2017-11-17,2017-11-18,Light_rain,,,,,,
2017-11-18,2017-11-19,Light_rain,,,,,,
2017-11-19,2017-11-20,Light_rain,,,,,,
2017-11-20,2017-11-21,Light_rain,,,,,,
2017-11-21,2017-11-22,Light_rain,,,,,,
2017-11-22,2017-11-23,Light_rain,,,,,,
2017-11-23,2017-11-24,Light_rain,,,,,,
2017-11-24,2017-11-25,Light_rain,,,,,,
2017-11-25,2017-11-26,Light_rain,,,,,,
2017-11-26,2017-11-27,Light_rain,,,,,,
2017-11-27,2017-11-28,Light_rain,,,,,,
2017-11-28,2017-11-29,Light_rain,,,,,,
2017-11-29,2017-11-30,Light_rain,,,,,,
2017-11-30,2017-12-01,Light_rain,,,,,,
2017-12-01,2017-12-02,Light_rain,,,,,,
2017-12-02,2017-12-03,Light_rain,,,,,,
2017-12-03,2017-12-04,Light_rain,,,,,,
2017-12-04,2017-12-05,Light_rain,,,,,,
2017-12-05,2017-12-06,Light_rain,,,,,,
2017-12-06,2017-12-07,Light_rain,,,,,,
2017-12-07,2017-12-08,Light_rain,,,,,,
2017-12-08,2017-12-09,Light_rain,,,,,,
2017-12-09,2017-12-10,Light_rain,,,,,,
2017-12-10,2017-12-11,Light_rain,,,,,,
2017-12-11,2017-12-12,Light_rain,,,,,,
2017-12-12,2017-12-13,Light_rain,,,,,,
2017-12-13,2017-12-14,Light_rain,,,,,,
