time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2016-10-01,2016-10-02,Light_rain,,,,,,
2016-10-02,2016-10-03,Light_rain,,,,,,
2016-10-03,2016-10-04,Light_rain,,,,,,
2016-10-04,2016-10-05,Light_rain,,,,,,
2016-10-05,2016-10-06,Light_rain,,,,,,
2016-10-06,2016-10-07,Light_rain,,,,,,
2016-10-07,2016-10-08,Light_rain,,,,,,
2016-10-08,2016-10-09,Light_rain,,,,,,
2016-10-09,2016-10-10,Light_rain,,,,,,
2016-10-10,2016-10-11,Light_rain,,,,,,
2016-10-11,2016-10-12,Light_rain,,,,,,
2016-10-12,2016-10-13,Light_rain,,,,,,
2016-10-13,2016-10-14,Light_rain,,,,,,
2016-10-14,2016-10-15,Light_rain,,,,,,
2016-10-15,2016-10-16,Light_rain,,,,,,
2016-10-16,2016-10-17,Light_rain,,,,,,
2016-10-17,2016-10-18,Light_rain,,,,,,
2016-10-18,2016-10-19,Light_rain,,,,,,
2016-10-19,2016-10-20,Light_rain,,,,,,
2016-10-20,2016-10-21,Light_rain,,,,,,
2016-10-21,2016-10-22,Light_rain,,,,,,
2016-10-22,2016-10-23,Light_rain,,,,,,
2016-10-23,2016-10-24,Light_rain,,,,,,
2016-10-24,2016-10-25,Light_rain,,,,,,
2016-10-25,2016-10-26,Light_rain,,,,,,
2016-10-26,2016-10-27,Light_rain,,,,,,
2016-10-27,2016-10-28,Light_rain,,,,,,
2016-10-28,2016-10-29,Light_rain,,,,,,
2016-10-29,2016-10-30,Light_rain,,,,,,
2016-10-30,2016-10-31,Light_rain,,,,,,
2016-10-31,2016-11-01,Light_rain,,,,,,
2016-11-01,2016-11-02,Light_rain,,,,,,
2016-11-02,2016-11-03,Light_rain,,,,,,
2016-11-03,2016-11-04,Light_rain,,,,,,
2016-11-04,2016-11-05,Light_rain,,,,,,
2016-11-05,2016-11-06,Light_rain,,,,,,
2016-11-06,2016-11-07,Light_rain,,,,,,
2016-11-07,2016-11-08,Light_rain,,,,,,
2016-11-08,2016-11-09,Light_rain,,,,,,
2016-11-09,2016-11-10,Light_rain,,,,,,
2016-11-10,2016-11-11,Light_rain,,,,,,
2016-11-11,2016-11-12,Light_rain,,,,,,
2016-11-12,2016-11-13,Light_rain,,,,,,
2016-11-13,2016-11-14,Light_rain,,,,,,
2016-11-14,2016-11-15,Light_rain,,,,,,
2016-11-15,2016-11-16,Light_rain,,,,,,
2016-11-16,2016-11-17,Light_rain,,,,,,
2016-11-17,2016-11-18,Light_rain,,,,,,
2016-11-18,2016-11-19,Light_rain,,,,,,
2016-11-19,2016-11-20,Light_rain,,,,,,
2016-11-20,2016-11-21,Light_rain,,,,,,
2016-11-21,2016-11-22,Light_rain,,,,,,
2016-11-22,2016-11-23,Light_rain,,,,,,
2016-11-23,2016-11-24,Light_rain,,,,,,
2016-11-24,2016-11-25,Light_rain,,,,,,
2016-11-25,2016-11-26,Light_rain,,,,,,
2016-11-26,2016-11-27,Light_rain,,,,,,
2016-11-27,2016-11-28,Light_rain,,,,,,
2016-11-28,2016-11-29,Light_rain,,,,,,
2016-11-29,2016-11-30,Light_rain,,,,,,
2016-11-30,2016-12-01,Light_rain,,,,,,
2016-12-01,2016-12-02,Light_rain,,,,,,
2016-12-02,2016-12-03,Light_rain,,,,,,
2016-12-03,2016-12-04,Light_rain,,,,,,
2016-12-04,2016-12-05,Light_rain,,,,,,
2016-12-05,2016-12-06,Light_rain,,,,,,
2016-12-06,2016-12-07,Light_rain,,,,,,
2016-12-07,2016-12-08,Light_rain,,,,,,
2016-12-08,2016-12-09,Light_rain,,,,,,
2016-12-09,2016-12-10,Light_rain,,,,,,
2016-12-10,2016-12-11,Light_rain,,,,,,
2016-12-11,2016-12-12,Light_rain,,,,,,
2016-12-12,2016-12-13,Light_rain,,,,,,
2016-12-13,2016-12-14,Light_rain,,,,,,
2016-12-14,2016-12-15,Light_rain,,,,,,
2016-12-15,2016-12-16,Light_rain,,,,,,
2016-12-16,2016-12-17,Light_rain,,,,,,
2016-12-17,2016-12-18,Light_rain,,,,,,
2016-12-18,2016-12-19,Light_rain,,,,,,
2016-12-19,2016-12-20,Light_rain,,,,,,
2016-12-20,2016-12-21,Light_rain,,,,,,
2016-12-21,2016-12-22,Light_rain,,,,,,
2016-12-22,2016-12-23,Light_rain,,,,,,
2016-12-23,2016-12-24,Light_rain,,,,,,
2016-12-24,2016-12-25,Light_rain,,,,,,
2016-12-25,2016-12-26,Light_rain,,,,,,
2016-12-26,2016-12-27,Light_rain,,,,,,
2016-12-27,2016-12-28,Light_rain,,,,,,
2016-12-28,2016-12-29,Light_rain,,,,,,
2016-12-29,2016-12-30,Light_rain,,,,,,
2016-12-30,2016-12-31,Light_rain,,,,,,
2016-12-31,2017-01-01,Light_rain,,,,,,
2017-01-01,2017-01-02,Light_rain,,,,,,
2017-01-02,2017-01-03,Light_rain,,,,,,
2017-01-03,2017-01-04,Light_rain,,,,,,
2017-01-04,2017-01-05,Light_rain,,,,,,
2017-01-05,2017-01-06,Light_rain,,,,,,
2017-01-06,2017-01-07,Light_rain,,,,,,
2017-01-07,2017-01-08,Light_rain,86.25,97.0,0.0,25.62,r01d,500
2017-01-08,2017-01-09,Light_rain,80.93,86.73,0.6,26.2,r01n,500
2017-01-09,2017-01-10,Light_rain,92.0,91.57,1.43,23.57,r01n,500
2017-01-10,2017-01-11,Light_rain,93.0,94.33,0.67,23.17,r01n,500
2017-01-11,2017-01-12,Light_rain,,,,,,
2017-01-12,2017-01-13,Light_rain,,,,,,
2017-01-13,2017-01-14,Light_rain,,,,,,
2017-01-14,2017-01-15,Light_rain,85.5,79.5,0.0,25.0,r01n,500
2017-01-15,2017-01-16,Light_rain,,,,,,
2017-01-16,2017-01-17,Light_rain,,,,,,
2017-01-17,2017-01-18,Light_rain,,,,,,
2017-01-18,2017-01-19,Light_rain,,,,,,
2017-01-19,2017-01-20,Light_rain,,,,,,
2017-01-20,2017-01-21,Light_rain,81.25,84.75,0.0,24.5,r01d,500
2017-01-21,2017-01-22,Light_rain,,,,,,
2017-01-22,2017-01-23,Light_rain,,,,,,
