time_start,time_end,cloud_description,relative_humidity,clouds,precip,temperature,icon,code
2016-10-01,2016-10-02,Few_clouds,,,,,,
2016-10-02,2016-10-03,Few_clouds,,,,,,
2016-10-03,2016-10-04,Few_clouds,,,,,,
2016-10-04,2016-10-05,Few_clouds,83.0,19.0,0.0,23.0,c02n,801
2016-10-05,2016-10-06,Few_clouds,,,,,,
2016-10-06,2016-10-07,Few_clouds,,,,,,
2016-10-07,2016-10-08,Few_clouds,,,,,,
2016-10-08,2016-10-09,Few_clouds,60.0,19.0,0.0,28.0,c02d,801
2016-10-09,2016-10-10,Few_clouds,,,,,,
2016-10-10,2016-10-11,Few_clouds,,,,,,
2016-10-11,2016-10-12,Few_clouds,48.33,17.0,0.0,30.0,c02d,801
2016-10-12,2016-10-13,Few_clouds,61.5,17.0,0.0,25.0,c02d,801
2016-10-13,2016-10-14,Few_clouds,68.0,18.0,0.0,25.67,c02d,801
2016-10-14,2016-10-15,Few_clouds,,,,,,
2016-10-15,2016-10-16,Few_clouds,,,,,,
2016-10-16,2016-10-17,Few_clouds,58.0,18.67,0.0,28.67,c02d,801
2016-10-17,2016-10-18,Few_clouds,67.43,10.43,0.0,25.29,c02d,801
2016-10-18,2016-10-19,Few_clouds,73.0,12.14,0.0,23.57,c02n,801
2016-10-19,2016-10-20,Few_clouds,72.74,10.21,0.0,24.11,c02n,801
2016-10-20,2016-10-21,Few_clouds,60.0,11.5,0.0,20.88,c02n,801
2016-10-21,2016-10-22,Few_clouds,65.75,11.5,0.0,25.0,c02n,801
2016-10-22,2016-10-23,Few_clouds,73.0,10.33,0.0,22.33,c02d,801
2016-10-23,2016-10-24,Few_clouds,60.0,11.67,0.0,23.78,c02n,801
2016-10-24,2016-10-25,Few_clouds,56.12,12.25,0.0,23.88,c02d,801
2016-10-25,2016-10-26,Few_clouds,56.0,15.67,0.0,27.33,c02d,801
2016-10-26,2016-10-27,Few_clouds,59.29,9.14,0.0,27.57,c02d,801
2016-10-27,2016-10-28,Few_clouds,,,,,,
2016-10-28,2016-10-29,Few_clouds,,,,,,
2016-10-29,2016-10-30,Few_clouds,,,,,,
